iso,driver_code,pixel_count,area_ha,driver_label,dataset_name,dataset_version
CMR,6,4519,451900.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CMR,7,1882,188200.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COD,1,245318,24531800.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COD,2,2390,239000.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COD,3,663026,66302600.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COD,4,55626,5562600.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COD,5,13073,1307300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COD,6,7936,793600.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COD,7,20801,2080100.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COG,1,16006,1600600.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COG,2,809,80900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COG,3,51021,5102100.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COG,4,29086,2908600.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COG,5,7649,764900.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COG,6,1054,105400.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COG,7,7030,703000.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COL,1,329432,32943200.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COL,2,2573,257300.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COL,3,25857,2585700.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COL,4,13692,1369200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COL,5,2037,203700.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COL,6,3084,308400.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COL,7,28481,2848100.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COM,1,480,48000.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COM,3,389,38900.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COM,4,8,800.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COM,5,16,1600.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COM,6,63,6300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
COM,7,56,5600.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CPV,1,274,27400.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CPV,2,18,1800.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CPV,5,65,6500.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CPV,6,5,500.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CRI,1,28087,2808700.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CRI,2,29,2900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CRI,3,1315,131500.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CRI,4,167,16700.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CRI,5,98,9800.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CRI,6,896,89600.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CRI,7,1082,108200.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUB,1,42279,4227900.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUB,2,349,34900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUB,3,1477,147700.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUB,4,1373,137300.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUB,5,2248,224800.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUB,6,400,40000.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUB,7,6436,643600.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUW,1,16,1600.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUW,2,3,300.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUW,6,33,3300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CUW,7,1,100.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYM,1,15,1500.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYM,2,4,400.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYM,6,97,9700.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYM,7,42,4200.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYP,1,199,19900.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYP,2,58,5800.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYP,4,103,10300.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYP,5,668,66800.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYP,6,58,5800.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CYP,7,1,100.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CZE,1,481,48100.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CZE,2,252,25200.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CZE,4,61721,6172100.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CZE,5,1,100.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CZE,6,1323,132300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CZE,7,54,5400.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
