"iso","umd_tree_cover_extent_2000__ha","area__ha"
"DNK",663204.54588622182592668,4314475.77645678001801992
"DOM",2576438.46709116214643897,4809206.58809436679554190
"DZA",1223324.151938161788851820,230802066.296498267151631900
"ECU",19048767.71770817836847119,25633999.21656508724519261
"EGY",154304.12265715895065476,98376624.85984899211575149
"ERI",4.60761319908799924,12045735.35574750632854578
"ESH",0.0,26732283.63394038315421969
"ESP",11018935.455641380623799811,50604330.634457688655575285
"EST",2639420.424381802984265025,4548947.841532675167084865
"ETH",12040337.06855421328435489,112902124.44953675079580568
"FIN",21627650.439389265175773391,33693913.685157279711490425
"FJI",1556561.89141510780716821,1808214.38682058057950486
"FLK",2188.16542661547455023,1239776.0837794598748245
"FRA",16783019.858277828756764106,54951533.03895702524893072
"FRO",0.0,143970.71831164937918464
"FSM",6171.7176986925480570,10266.71856649946214826
"GAB",24690954.39902603236932520,26454961.49486696090266952
"GBR",3697148.457826306027103243,24682844.180443800645015564
"GEO",3144570.422246461141291885,6984453.208236107544679974
"GGY",3016.40999161604712707,17689.87511803121337367
"GHA",6968885.80957746677295852,23947396.16166325749164522
"GIB",239.70701895106742075,1442.43293176345207724
"GIN",8159636.17126592402493224,24481607.12570885642068082
"GLP",94756.98039966950872100,165026.95298332870253324
"GMB",4562.23176440458105700,1067021.94619842136720954
"GNB",1069851.78174639880908999,3388190.45064203252998656
"GNQ",2654599.59833825881866001,2695938.88164050648889919
"GRC",3672607.767731670708882210,13257897.365597734353305704
"GRD",28533.71935852239041580,35952.35832738928253292
"GTM",7691096.16959618413023848,10914401.64750831306179442
"GUF",8162753.46744541573556109,8330101.25343797908619366
"GUY",18996037.47698166581591611,20974405.59164853143457895
"HND",7740495.92341681454638543,11229007.59984015481371306
"HRV",2431303.04210812146511505,5707837.686001067221664445
"HTI",858467.54234586021823131,2710756.14746281316289579
"HUN",1989595.847139191750539374,9303963.578081223556128461
"IDN",160640822.20745662509052314,189023580.56716388174230407
"IMN",26434.29924481620187413,115933.01914504613110666
"IND",32620760.31685229917590927,297835739.79323398588693595
"IRL",838578.628968897822647748,7026606.425163191273289910
"IRN",1731670.323928554036347518,162174333.567122308012032941
"IRQ",17505.838963013300919306,43645439.506730669013343924
"ISL",0.0,10222382.8823844415060
"ISR",29484.76741140105108206,2215883.84042137347211589
"ITA",9317984.941982207474151765,30073303.783576410953024638
"JAM",768452.06401247488941297,1099988.12898939293796176
"JEY",3099.94139512385931430,25025.10391387704872815
"JOR",2271.4597412675254060,8919384.97483348318029152
"JPN",26387218.535469572802342204,37240283.232404355690987169
"KAZ",4240314.906812899432313331,273052718.210238659457290985
"KEN",3319471.65242128824597213,58598332.36519314881907498
"KGZ",674934.42158875412868492,19744827.93801079474825890
"KHM",8828151.88427809396572222,18169723.59854818278785938
"KIR",0.0,688.8485014332197
"KNA",13259.65971521061734532,26717.56720623746924999
"KOR",5368013.305192670776964245,10053628.068348371407397416
"KWT",0.0,1742836.80790769577765260
"LAO",19118849.48396444551699259,22987173.47005478355150609
"LBN",65236.07224662138907061,1023806.02581017731491332
"LBR",9384718.07067988716938992,9591804.95661913447920785
"LBY",6833.00933028959191876,161606956.53755958079047429
"LCA",50731.48490213780054825,61447.85346989724619445
"LIE",8942.398887388862532184,15947.462776779594571099
"LKA",3939917.13378793991564666,6583717.14375861445802017
"LSO",6051.73378124677820754,3054529.37144513936504986
"LTU",2336224.343658277625104902,6501663.168784778708801145
"LUX",101328.281914481720169341,258158.038398641078127430
"LVA",3553508.430283714546787009,6471001.339825078270664664
"MAF",1849.28415054694487980,5615.61038781360805000
"MAR",648566.12651266806369691,41349154.25883953516271616
"MCO",0.78326002660156254,470.59496895707152765
"MDA",356004.461289255376443177,3390776.189196362596543865
"MDG",17141084.12839667244890332,59144702.72656930693218687
"MDV",5569.75391625988606639,27912.71303579201629124
"MEX",53168926.08026570735305776,195108695.16286806253369671
"MKD",782000.046899414135611983,2491000.36271479150385203
"MLI",25097.99975557790374179,125119431.48439141137466277
"MLT",116.51663978831598628,32335.60356376568511278
"MMR",42863360.73596863002779967,66929632.29924081883173722
"MNE",616459.420621861540011778,1333653.777366408101379519
"MNG",4090459.046122349547318323,156624911.007887585242116131
"MOZ",28920530.96963308916253207,78746118.38581575100244924
"MRT",33.31622286066296336,104116934.20298188756595535
"MSR",4582.52725114229019839,10061.82208226202640803
"MTQ",74650.34987099721875459,111788.92383582841494538
